name,Adduct,mz,Polarity,FullName
Acetaldehyde,[M+CH3COO]-,103.04009,negative,Acetaldehyde_[M+CH3COO]-
Urea,[M+CH3COO]-,119.04623,negative,Urea_[M+CH3COO]-
Ethanolamine,[M+CH3COO]-,120.06663,negative,Ethanolamine_[M+CH3COO]-
Imidazole,[M+CH3COO]-,127.05132,negative,Imidazole_[M+CH3COO]-
Propynoic acid,[M+CH3COO]-,129.01935,negative,Propynoic acid_[M+CH3COO]-
Pyruvaldehyde,[M+CH3COO]-,131.035,negative,Pyruvaldehyde_[M+CH3COO]-
Methylguanidine,[M+CH3COO]-,132.07787,negative,Methylguanidine_[M+CH3COO]-
Glyoxylate,[M+CH3COO]-,133.01426,negative,Glyoxylate_[M+CH3COO]-
Hydroxyacetone,[M+CH3COO]-,133.05065,negative,Hydroxyacetone_[M+CH3COO]-
Propionic acid,[M+CH3COO]-,133.05065,negative,Propionic acid_[M+CH3COO]-
L-Lactaldehyde,[M+CH3COO]-,133.09237,negative,L-Lactaldehyde_[M+CH3COO]-
"1,3-Diaminopropane",[M+CH3COO]-,133.09827,negative,"1,3-Diaminopropane_[M+CH3COO]-"
Glycine,[M+CH3COO]-,134.0459,negative,Glycine_[M+CH3COO]-
Glycolate,[M+CH3COO]-,135.02992,negative,Glycolate_[M+CH3COO]-
Propylene glycol,[M+CH3COO]-,135.0663,negative,Propylene glycol_[M+CH3COO]-
Cysteamine,[M+CH3COO]-,136.04379,negative,Cysteamine_[M+CH3COO]-
3-Butynoic acid,[M+CH3COO]-,143.035,negative,3-Butynoic acid_[M+CH3COO]-
Diacetyl,[M+CH3COO]-,145.05065,negative,Diacetyl_[M+CH3COO]-
Pyruvate,[M+CH3COO]-,147.02992,negative,Pyruvate_[M+CH3COO]-
Acetoin,[M+CH3COO]-,147.0663,negative,Acetoin_[M+CH3COO]-
Butanoic acid,[M+CH3COO]-,147.0663,negative,Butanoic acid_[M+CH3COO]-
Putrescine,[M+CH3COO]-,147.11392,negative,Putrescine_[M+CH3COO]-
Beta-Alanine,[M+CH3COO]-,148.06155,negative,Beta-Alanine_[M+CH3COO]-
Sarcosine,[M+CH3COO]-,148.06155,negative,Sarcosine_[M+CH3COO]-
L-Alanine,[M+CH3COO]-,148.06155,negative,L-Alanine_[M+CH3COO]-
Oxalate,[M+CH3COO]-,149.00918,negative,Oxalate_[M+CH3COO]-
3-Hydroxypropionic acid (beta-lactic acid),[M+CH3COO]-,149.04556,negative,3-Hydroxypropionic acid (beta-lactic acid)_[M+CH3COO]-
Dihydroxyacetone,[M+CH3COO]-,149.04556,negative,Dihydroxyacetone_[M+CH3COO]-
DL-lactate,[M+CH3COO]-,149.04556,negative,DL-lactate_[M+CH3COO]-
Glyceraldehyde,[M+CH3COO]-,149.04556,negative,Glyceraldehyde_[M+CH3COO]-
Glycerol,[M+CH3COO]-,151.06122,negative,Glycerol_[M+CH3COO]-
Phenol,[M+CH3COO]-,153.05574,negative,Phenol_[M+CH3COO]-
2-Aminopyrazine,[M+CH3COO]-,154.06222,negative,2-Aminopyrazine_[M+CH3COO]-
3-Hexanone,[M+CH3COO]-,159.10268,negative,3-Hexanone_[M+CH3COO]-
Betaine aldehyde,[M+CH3COO]-,160.09793,negative,Betaine aldehyde_[M+CH3COO]-
2-Ketobutyric acid,[M+CH3COO]-,161.04556,negative,2-Ketobutyric acid_[M+CH3COO]-
Acetoacetic acid,[M+CH3COO]-,161.04556,negative,Acetoacetic acid_[M+CH3COO]-
